660,938 
661,262 
660,906 
661,165 
660,647 
661,068 
660,809 
661,230 
660,744 
661,100 
660,777 
661,165 
660,841 
661,197 
660,712 
661,100 
660,744 
661,165 
660,777 
661,197 
660,777 
661,165 
660,777 
661,165 
660,809 
661,133 
660,777
661,262 
660,744 
661,197 
660,744 
661,133 
660,744 
661,100 
660,744 
661,133 
660,874 
661,165 
660,777 
661,197 
660,841 
661,197 
660,680 
661,003 
660,744 
661,197 
660,777 
661,230 
660,809 
661,133 
660,809 
661,068 
660,744 
661,165 
660,777 
661,003 
660,712 
660,971 
660,809 
661,165 
660,841 
661,165 
660,809 
661,165 
660,744 
661,035 
660,680 
660,971 
660,809 
661,035 
660,971 
660,906 
661,165 
660,841 
661,035 
660,744 
661,035 
660,712 
661,068 
660,841 
661,133 
660,841 
661,003 
660,744 
661,100 
660,841 
661,133 
660,809 
661,003 
660,680 
661,068 
660,777 
661,035 
660,938 
661,068 
660,744 
661,003 
660,841 
661,133 
660,874 
661,100 
660,874 
661,068 
660,874 
661,133 
660,809 
661,133 
660,874 
661,068 
660,809 
661,197 
